0.010546,0.0083984,0.0091042,0.0092547,0.61237,2.3251,0.030869,1.4098e-05,0.013455,139.88,42.246,168,19.274,-0.41087,1.2327,187,76,146.06,1
2.077,11.831,0.006077,0.0079779,6.8534,48.251,98.004,0.00011,11.954,864.62,675.78,358,192.74,0.33723,-1.8709,1676,222,1095.3,0
0.0026777,0.0058106,0.00022873,0.00031768,2.3123,7.0579,0.022156,1.835e-06,0.0063715,845.66,743.96,685,902.9,0.022518,1.0461,1610,76,1123.9,1
0.013742,0.028542,0.0019114,0.0028262,3.0507,11.513,0.11959,7.22e-07,0.03155,126.5,40.807,88,2.9652,0.086771,1.0202,183,86,132.86,1
0.0029421,0.0074302,0.00023442,0.00033827,2.7538,9.1084,0.03114,1.583e-06,0.0079569,942.74,699.75,1430,213.49,-0.38585,1.195,1582,76,1172,1
0.0030021,0.008568,0.00023103,0.00033292,4.4067,24.904,0.056579,1.572e-06,0.0090382,922.14,680.97,1368,341,-0.37821,1.2147,1610,76,1144.3,1
0.011733,0.0099936,0.0093752,0.012704,0.60372,2.8229,0.046821,1.4309e-05,0.015379,120.94,40.188,88,0,0.37044,1.1546,183,76,127.38,1
0.0039917,0.018337,3.5534e-05,4.1427e-05,6.3746,43.521,0.1328,7.222e-06,0.018677,979.22,630.44,1386,243.15,-0.64501,1.5425,1602,76,1162.9,1
0.0034001,0.00864,0.00014056,0.00019665,3.6893,19.079,0.055584,1.85e-06,0.0092447,957.78,690.47,1478,77.095,-0.45528,1.2485,1598,76,1178.7,1
0.0036368,0.018017,2.3956e-05,2.4134e-05,6.4732,44.397,0.12878,1.491e-06,0.018292,1089.4,607.89,1436,157.16,-0.98308,2.0747,1594,76,1246,1
0.013407,0.027888,0.0019334,0.0028585,3.2043,12.333,0.11956,9.55e-07,0.030817,125.74,40.825,88,2.9652,0.12913,1.0332,184,86,132.14,1
0.0082232,0.040232,0.000997,1.1861e-05,5.61,30.558,0.26182,0.000207,0.040866,1265.5,419.45,1448,0,-1.8287,1.3617,1448,264,1332.6,0
0.0023426,0.0056702,0.00019285,0.00027923,2.774,9.5263,0.025071,9.96e-07,0.0061088,830.61,717.84,774,1034.9,0.039483,1.1263,1610,76,1095.5,1
0.0035868,0.0055905,0.000564,0.00033877,2.7621,11.144,0.036847,0.000268,0.0066186,469.06,49.157,474,0,1.4692,9.4825,681,355,471.6,0
0.0036791,0.0069803,0.0002487,0.00034902,1.9857,6.0507,0.029408,7.199e-06,0.0078596,808.97,615.33,1202,367.68,-0.28448,1.1762,1494,76,1014.5,1
0.75822,1.8245,0.08228,0.12165,3.1881,9.7789,9.4892,0.000112,1.9673,703.62,513.91,352,83.026,0.79974,-1.2026,1536,222,869.79,0
0.0030674,0.010589,7.3743e-05,0.00010677,4.5866,25.169,0.067025,1.556e-06,0.010974,957.88,611.41,1334,83.026,-0.67782,1.5686,1574,76,1134.7,1
0.0028706,0.0061738,0.00025185,0.00035652,2.2207,6.5898,0.025333,2.026e-06,0.0067805,877.9,735.41,1006.5,894.75,-0.099853,1.0926,1610,76,1142.9,1
0.0036754,0.010485,0.00024048,0.00034625,3.7239,17.029,0.058796,1.52e-06,0.011061,864.98,635.46,1326,189.77,-0.38636,1.2086,1534,76,1071.4,1
0.0061008,0.0079759,0.00067012,0.00098478,0.98506,2.4539,0.023676,3.004e-06,0.01001,121.33,56.602,88,17.791,0.82958,1.8882,224,76,133.76,1
0.62317,2.7143,0.0010555,0.0011305,5.9748,40.251,22.257,0.000229,2.7717,996.56,603.75,1536,0,-0.22638,-1.9531,1536,280,1163.6,0
0.00216,0.0051397,0.000435,0.00017791,6.1522,46.225,0.045036,9.9e-05,0.0055514,1429.2,232.22,1476,0,-4.7206,20.743,1476,222,1447.7,0
0.0013492,0.0039694,1.1648e-05,1.5083e-05,3.5216,15.073,0.021818,9.82e-07,0.0041736,1133.1,683.37,1610,0,-0.8207,1.7499,1610,76,1321.4,1
0.010884,0.02941,0.0006545,0.00077095,4.0532,18.111,0.18533,9.5e-05,0.031222,901.32,623.22,673,668.65,0.20614,-1.7625,1676,222,1094,0
0.0029932,0.0084095,0.000384,0.000149,4.8395,24.221,0.056889,0.000202,0.0088866,1418.8,253.55,1476,0,-4.3101,17.114,1476,222,1441,0
0.017766,0.03353,0.0045445,0.0065553,3.7598,18.742,0.24027,9e-05,0.037797,952.44,609.63,1476,0,-0.30816,-1.8998,1476,222,1129.2,0
0.0086488,0.009385,0.0050522,0.0067448,1.5308,6.057,0.049377,4.636e-06,0.012728,127.09,42.93,88,1.4826,0.18886,1.0751,181,86,134.08,1
0.0043424,0.019362,4.739e-05,6.8026e-05,6.0557,40.294,0.13904,1.423e-06,0.019749,1032.9,656.62,1466,115.64,-0.69746,1.5571,1594,76,1222.2,1
0.0016606,0.0045896,2.6103e-05,2.7109e-05,3.1029,11.331,0.021195,6.193e-06,0.0048592,1094.6,686.84,1610,0,-0.70528,1.6142,1610,76,1290.4,1
0.64306,2.4826,0.0034545,0.0050438,5.3158,32.575,19.402,0.000105,2.5525,828.56,670.25,337,166.05,0.33034,-1.8583,1646,222,1063.6,0
0.0051052,0.0073157,0.0008758,0.0012672,1.2902,3.1134,0.023366,6.2e-06,0.0088909,113.07,52.223,88,17.791,1.2257,2.7005,224,76,124.44,1
0.0025714,0.0058472,0.00020535,0.0002896,2.3925,7.3258,0.022786,1.471e-06,0.0063608,868.6,724.46,840,1132.7,-0.057482,1.1039,1610,76,1128.7,1
